Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,11055,,,,11055,,42099,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,15,,,,15,,135,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,54,,,,54,,797,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,740,,,,740,,1580,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,422,Lebanon,LBN,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,11,,,,11,,167,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,7734,,,,7734,,31919,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,2000,,,,2000,,6000,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,860,Uzbekistan,UZB,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,500,,,,500,,1500,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,41035,,,,41035,,127498,,,0
H5,2018,2018,2018,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,081310,"Fruit, edible; apricots, dried",8,Weight in kilograms,52,,,,52,,718,,,0
