Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,90286,,,,90286,,152349,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,76,Brazil,BRA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,18,,,,18,,107,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,23100,,,,23100,,34301,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,156,China,CHN,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,3400,,,,3400,,4584,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,218,Ecuador,ECU,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,1600,,,,1600,,2406,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,26052,,,,26052,,49910,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,400,,,,400,,600,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,381,Italy,ITA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,4010,,,,4010,,5954,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,616,Poland,POL,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,56,,,,56,,585,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,3790,,,,3790,,5835,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,12850,,,,12850,,17040,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,818,Egypt,EGY,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,400,,,,400,,604,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080810,"Fruit, edible; apples, fresh",8,Weight in kilograms,14610,,,,14610,,30423,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,50806,,,,50806,,71659,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,32,Argentina,ARG,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,1840,,,,1840,,2761,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,152,Chile,CHL,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,1600,,,,1600,,2403,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,156,China,CHN,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,12385,,,,12385,,19670,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,218,Ecuador,ECU,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,400,,,,400,,603,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,300,Greece,GRC,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,5175,,,,5175,,6732,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,3074,,,,3074,,4115,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,21730,,,,21730,,29087,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,842,USA,USA,,,,,,,,080830,"Fruit, edible; pears, fresh",8,Weight in kilograms,4602,,,,4602,,6288,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080840,"Fruit, edible; quinces, fresh",8,Weight in kilograms,96550,,,,96550,,179078,,,0
H4,2013,2013,2013,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080840,"Fruit, edible; quinces, fresh",8,Weight in kilograms,82000,,,,82000,,159006,,,0
