Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,815197,,,,815197,,945265,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,12,Algeria,DZA,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,926,,,,926,,1320,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,275,State of Palestine,PSE,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,510,,,,510,,560,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,106,,,,106,,915,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,796227,,,,796227,,929263,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,400,Jordan,JOR,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,575,,,,575,,633,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,422,Lebanon,LBN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,19,,,,19,,194,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,12198,,,,12198,,7310,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,682,Saudi Arabia,SAU,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,2640,,,,2640,,2903,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,699,India,IND,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,50,,,,50,,55,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,784,United Arab Emirates,ARE,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,200,,,,200,,220,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,788,Tunisia,TUN,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,1215,,,,1215,,1471,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080410,"Fruit, edible; dates, fresh or dried",8,Weight in kilograms,530,,,,530,,416,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,244475,,,,244475,,280988,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,251,France,FRA,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,15,,,,15,,134,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,268,Georgia,GEO,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,118003,,,,118003,,160020,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,20,,,,20,,206,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,300,Greece,GRC,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,22500,,,,22500,,83432,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,364,Iran,IRN,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,50,,,,50,,150,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,3260,,,,3260,,7659,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,3,,,,3,,26,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,100094,,,,100094,,29190,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,899,"Areas, nes",,,,,,,,,080420,"Fruit, edible; figs, fresh or dried",8,Weight in kilograms,530,,,,530,,166,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,870270,,,,870270,,769760,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,188,Costa Rica,CRI,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,662224,,,,662224,,608155,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,218,Ecuador,ECU,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,1394,,,,1394,,1254,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,276,Germany,DEU,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,12,,,,12,,180,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,422,Lebanon,LBN,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,8,,,,8,,72,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,480,Mauritius,MUS,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,1416,,,,1416,,1280,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,591,Panama,PAN,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,14480,,,,14480,,13831,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,608,Philippines,PHL,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,35420,,,,35420,,31878,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,643,Russian Federation,RUS,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,58636,,,,58636,,25312,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,710,South Africa,ZAF,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,130,,,,130,,603,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,764,Thailand,THA,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,140,,,,140,,421,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,792,Turkey,TUR,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,76850,,,,76850,,69165,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,818,Egypt,EGY,,,,,,,,080430,"Fruit, edible; pineapples, fresh or dried",8,Weight in kilograms,19560,,,,19560,,17604,,,0
H5,2017,2017,2017,6,1,1,Import,51,Armenia,ARM,0,World,WLD,,,,,,,,080440,"Fruit, edible; avocados, fresh or dried",8,Weight in kilograms,16951,,,,16951,,46991,,,0
